 17092, -1724,  -712,    18,    29,     9, 1
 17036, -1696,  -732,    16,     5,    17, 1
 16936, -1644,  -708,    34,     8,     6, 1
 17120, -1716,  -860,    21,    11,    13, 1
 17140, -1604,  -560,    21,     5,    -2, 1
 17028, -1612,  -636,     9,    19,    -8, 1
 17156, -1708,  -624,   -15,   -10,   -13, 1
 17076, -1676,  -628,     3,     4,     7, 1
 17008, -1660,  -620,   -11,    -5,    10, 1
 17100, -1692,  -752,     2,    -9,     1, 1
 17144, -1668,  -616,     5,    11,     0, 1
 17064, -1628,  -572,    49,    12,    26, 1
 17040, -1636,  -576,    11,     1,     2, 1
 17044, -1692,  -688,    34,     1,   -13, 1
 17068, -1592,  -928,  -258,    -4,    -9, 1
 16992, -1640, -1292,  -759,     0,    25, 1
 17200, -1628, -1292, -1321,    58,    -4, 1
 16984, -1664, -1132, -1799,    63,    44, 1
 17036, -1712, -1088, -2234,    78,    52, 1
 17036, -1760,  -944, -2559,    78,    46, 1
 17088, -1740,  -668, -2706,    67,    44, 1
 17060, -1736,  -700, -2751,    87,    38, 1
 17112, -1780,  -576, -2680,    94,    22, 1
 16996, -1780,  -508, -2580,    70,    34, 1
 17064, -1768,  -396, -2417,    72,    52, 1
 17028, -1764,  -584, -2285,    83,    21, 1
 17044, -1728,  -516, -2118,    59,    18, 1
 17064, -1668,  -352, -1877,    75,    35, 1
 17084, -1564,  -156, -1443,    30,    34, 1
 16988, -1668,  -972,  -824,    34,    17, 1
 16944, -1680,  -368,  -693,    20,    -9, 1
 16996, -1784, -1044,  -930,    33,    22, 1
 17024, -1592,  -696,  -981,    -7,    31, 1
 18100, -1652, -1348,   212,    72,    34, 1
 17420, -1864, -1912,   -10,   -89,   -18, 1
 17040, -1756,   -72,    -2,    18,   -36, 1
 17108, -1660,  -768,     8,    27,    -5, 1
 17064, -1704,  -576,    17,    -6,    -8, 1
 17036, -1672,  -624,    21,   -18,    -3, 1
 16964, -1684,  -604,    14,     3,    -8, 1
