 17128, -1656,  -784,     4,     3,     6, 0
 17040, -1672,  -736,    10,     3,     0, 0
 17120, -1640,  -728,     8,    17,     2, 0
 17104, -1656,  -516,    -8,    11,     9, 0
 17016, -1580,  -584,    27,     0,    -5, 0
 17096, -1624,  -744,     8,     9,    -5, 0
 17092, -1616,  -756,     8,    -9,    13, 0
 16956, -1592,  -912,   236,    66,   -17, 0
 17072, -1548,   268,   522,   -35,   -10, 0
 17072, -1636,  -352,   945,    -2,     4, 0
 17044, -1580,  -612,  1197,    -4,   -42, 0
 16980, -1672,  -492,  1304,    -5,   -27, 0
 17072, -1828,  -312,  1468,   -22,   -14, 0
 17096, -1640,  -316,  1799,   -48,   -32, 0
 17076, -1568,  -336,  2161,   -67,   -45, 0
 16992, -1772,  -272,  2508,   -98,   -65, 0
 17160, -1848,  -476,  2823,   -85,   -77, 0
 17100, -1828,  -432,  3084,  -100,   -82, 0
 16984, -1748,  -736,  3165,   -94,   -86, 0
 16920, -1800,  -756,  3159,   -95,   -69, 0
 17064, -1836,  -892,  3078,   -94,   -96, 0
 17072, -1744,  -856,  2928,   -87,   -81, 0
 17068, -1772,  -672,  2807,   -59,   -75, 0
 17112, -1724,  -872,  2719,   -60,   -56, 0
 17140, -1740,  -820,  2647,   -75,   -53, 0
 17016, -1688,  -700,  2560,   -76,   -50, 0
 17008, -1780,  -748,  2433,   -72,   -63, 0
 17100, -1676,  -904,  2338,   -75,   -55, 0
 16904, -1812,  -908,  2155,   -62,   -35, 0
 17084, -1756, -1020,  1958,   -64,   -28, 0
 17072, -1696,  -760,  1770,   -64,   -45, 0
 17072, -1680,  -908,  1577,   -36,   -23, 0
 17108, -1744,  -864,  1321,   -27,   -23, 0
 17100, -1744,  -916,  1053,   -43,   -25, 0
 17028, -1624,  -956,   760,    -5,   -31, 0
 17040, -1820,  -848,   521,     0,   -31, 0
 17088, -1624,  -784,   292,    -5,     6, 0
 17136, -1724,  -784,   124,    21,    -9, 0
 17120, -1720,  -872,   -18,    10,    10, 0
 17080, -1688,  -708,   -41,    -6,   -10, 0
 17056, -1676,  -760,   -67,   -13,     2, 0
 17048, -1668,  -752,   -50,    20,    -7, 0
 17032, -1756,  -604,   -31,     7,    -6, 0
 17044, -1692,  -616,    14,     2,    19, 0
