 17076, -1664,  -684,   -12,    15,   -13, 1
 17144, -1668,  -680,     0,    30,    -7, 1
 17000, -1612,  -680,     7,    12,    25, 1
 16996, -1688,  -628,    17,     2,    10, 1
 16972, -1616,  -748,    15,    -6,   -11, 1
 16992, -1756,  -528,     1,   -13,     5, 1
 16980, -1612,  -748,    27,     6,   -27, 1
 17052, -1736,  -648,     2,     3,    -3, 1
 17116, -1624,  -896,  -144,    -5,    11, 1
 17056, -1740, -1308,  -422,    28,     5, 1
 17036, -1792, -1056,  -831,    36,     9, 1
 17076, -1616, -1076, -1275,    38,    26, 1
 17032, -1748, -1100, -1737,    57,    41, 1
 17132, -1748, -1040, -2112,    62,    37, 1
 17032, -1692,  -944, -2471,    64,    43, 1
 17040, -1812,  -704, -2737,    86,    53, 1
 17076, -1708,  -720, -2889,    81,    34, 1
 17012, -1752,  -492, -2946,    81,    69, 1
 16956, -1812,  -648, -2834,   101,    49, 1
 17040, -1752,  -604, -2795,    95,    59, 1
 17116, -1744,  -540, -2754,   113,    46, 1
 17032, -1708,  -528, -2717,    78,    37, 1
 17128, -1700,  -640, -2649,    80,    52, 1
 17108, -1776,  -532, -2634,    80,    42, 1
 17052, -1684,  -648, -2564,    78,    54, 1
 17064, -1676,  -576, -2527,    80,    59, 1
 17100, -1804,  -544, -2449,   101,    63, 1
 17036, -1732,  -480, -2414,    75,    64, 1
 17064, -1744,  -504, -2316,    89,    38, 1
 17044, -1744,  -528, -2219,    74,    40, 1
 17076, -1676,  -452, -2073,    96,    42, 1
 17100, -1740,  -492, -1800,    44,    35, 1
 17136, -1692,   -12, -1306,    55,    11, 1
 17012, -1760, -1924,  -681,    27,    -8, 1
 17156, -1624,  -532,  -657,    13,     8, 1
 17028, -1692,  -992,  -875,    35,    -2, 1
 17104, -1692,  -552,  -917,    36,     6, 1
 17120, -1668,  5944,  -226,    56,    -8, 1
 16892, -1356,  -712,   132,    96,     9, 1
 17156, -1632,  -816,    -8,    19,   -21, 1
 17036, -1696,  -692,    11,   -10,     8, 1
 17044, -1636,  -748,    18,    -2,   -12, 1
 17068, -1592,  -556,     5,     0,   -11, 1
 17176, -1748,  -776,    -9,   -10,    22, 1
 17028, -1660,  -676,     4,    -1,    14, 1
 17028, -1668,  -592,     5,    25,     9, 1
 17048, -1624,  -748,    20,   -19,     0, 1
 16984, -1564,  -568,    21,    18,    11, 1
 17176, -1588,  -684,   -10,    -2,    11, 1
