 17128, -1708,  -760,    24,    26,   -14, 0
 17080, -1676,  -756,     0,     3,   -10, 0
 16996, -1656,  -608,    -8,    -6,    -5, 0
 17048, -1676,  -704,    16,    27,    -3, 0
 17016, -1656,  -700,    14,    -1,     7, 0
 17076, -1616,  -720,    -6,     8,     8, 0
 16972, -1700,  -700,     5,     1,     6, 0
 17024, -1668,  -616,    11,    11,     7, 0
 16932, -1572,  -480,    75,   -25,    -5, 0
 17232, -1764,   -16,   224,   -12,    10, 0
 17096, -1660,  -528,   371,     4,    18, 0
 16984, -1616,  -476,   606,   -27,    15, 0
 16988, -1664,  -584,   741,    -7,   -11, 0
 17104, -1564,  -724,   863,    -3,   -24, 0
 17088, -1700,  -620,   960,   -10,   -18, 0
 17172, -1664,  -488,  1147,   -39,   -37, 0
 17152, -1676,  -364,  1493,   -29,   -35, 0
 17128, -1672,  -212,  1841,   -51,   -31, 0
 17036, -1704,  -368,  2166,   -56,   -30, 0
 16960, -1740,  -436,  2462,   -54,   -48, 0
 17032, -1756,  -560,  2686,   -71,   -29, 0
 16956, -1720,  -656,  2812,   -99,   -26, 0
 17040, -1736,  -700,  2808,   -84,   -74, 0
 17112, -1824,  -776,  2724,   -83,   -43, 0
 17080, -1852,  -604,  2680,   -58,   -52, 0
 16980, -1816,  -864,  2609,   -49,   -36, 0
 16608, -1760,  -336,  2555,     5,   -37, 0
 17020, -1780,  -832,  2482,   -75,   -38, 0
 17060, -1736,  -652,  2410,   -55,   -44, 0
 16952, -1804,  -712,  2351,   -80,   -44, 0
 17160, -1744,  -768,  2330,   -73,   -30, 0
 16944, -1736,  -728,  2239,   -82,   -36, 0
 17040, -1792,  -688,  2241,   -45,   -48, 0
 17012, -1744,  -436,  2316,   -66,   -69, 0
 17008, -1672,  -756,  2384,   -59,   -60, 0
 17092, -1736,  -552,  2437,   -58,   -39, 0
 17060, -1680,  -672,  2498,   -58,   -44, 0
 17088, -1804,  -796,  2488,   -54,   -44, 0
 17036, -1768,  -732,  2411,   -85,   -54, 0
 16920, -1820,  -832,  2333,   -58,   -26, 0
 17080, -1640,  -712,  2234,   -67,   -50, 0
 17016, -1680,  -760,  2122,   -62,   -56, 0
 17036, -1696,  -744,  2057,   -61,   -52, 0
 17140, -1816,  -724,  1964,   -52,   -39, 0
 17124, -1636,  -716,  1804,   -28,   -41, 0
 16996, -1704,  -880,  1643,   -47,   -31, 0
 17104, -1716,  -804,  1473,   -55,   -16, 0
 17112, -1652,  -864,  1279,   -29,   -21, 0
 17060, -1696,  -836,  1152,   -32,   -29, 0
 17060, -1664,  -900,   973,   -34,    -2, 0
 16972, -1624,  -840,   835,   -36,   -24, 0
 17108, -1708,  -796,   686,   -18,   -40, 0
 17040, -1688,  -888,   540,    -3,     6, 0
 16964, -1700,  -872,   406,   -13,     4, 0
 17076, -1720,  -776,   304,    19,   -18, 0
 17148, -1664,  -824,   230,   -15,     9, 0
 17108, -1688,  -880,   156,     8,     3, 0
 17036, -1704,  -728,    73,   -16,    -7, 0
 17080, -1732,  -688,    17,     3,    12, 0
 17100, -1724,  -576,   -12,   -10,   -25, 0
 17116, -1632,  -792,   -16,    13,     4, 0
 16992, -1704,  -652,   -21,     7,    -3, 0
